분류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,구글코드
코스피,태원물산,001420,자동차 신품 부품 제조업,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",1975-06-24,12월,남기영,http://www.twms.co.kr,서울특별시,KRX:001420
코스피,코오롱,002020,기타 금융업,"나일론,폴리에스터사,카페트,화섬사,필름,마그네틱카세트테이프,산업자재(자기재,타이어코드),화학제품,의료기기,액체여과기 제조,도매/오디오매체 출판/부동산",1975-06-23,12월,"이웅열, 안병덕",http://www.kolon.com,경기도,KRX:002020
코스피,삼성전자,005930,통신 및 방송 장비 제조업,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계",1975-06-11,12월,"권오현, 윤부근, 신종균",http://www.sec.co.kr,경기도,KRX:005930
코스피,대유플러스,000300,자동차 신품 부품 제조업,"유,무선 통신장비",1975-06-09,12월,김상규,http://www.dayouplus.co.kr,광주광역시,KRX:000300
코스피,BYC,001460,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,유 중 화,http://www.byc.co.kr,서울특별시,KRX:001460
코스피,쌍용자동차,003620,자동차용 엔진 및 자동차 제조업,"자동차,자동차부품,차륜,정비 제조/도소매",1975-05-29,12월,최종식,http://www.smotor.com,경기도,KRX:003620
코스피,쌍용양회,003410,"시멘트, 석회, 플라스터 및 그 제품 제조업",시멘트(크링카),1975-05-03,12월,황동철(대표집행임원),http://www.ssangyongcement.co.kr,서울특별시,KRX:003410
코스피,SPC삼립,005610,기타 식품 제조업,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매",1975-05-02,12월,"최석원,윤석춘(각자대표이사)",http://www.samlipgf.co.kr,경기도,KRX:005610
코스피,흥국화재,000540,보험업,손해보험,1974-12-05,12월,권중원,http://www.insurance.co.kr,서울특별시,KRX:000540
코스피,우리종금,010050,기타 금융업,"종합금융,주택할부금융,부동산",1974-09-11,12월,김재원,http://wooriib.com,광주광역시,KRX:010050
